age_range,industry,job_title,annual_salary,"How much additional monetary compensation do you get, if any (for example, bonuses or overtime in an average year)? Please only include monetary compensation here, not the value of benefits.",currency,"If ""Other,"" please indicate the currency here: ",country,"If you're in the U.S., what state do you work in?",What city do you work in?,current_years_experience,How many years of professional work experience do you have in your field?,education,gender,What is your race? (Choose all that apply.)
18-24,Business/Consulting,Analyst (General),85000,,USD,,United States,New York,New York City,2 - 4 years,2 - 4 years,Not Specified,Woman,"Asian or Asian American, White"
35-44,Marketing,Manager (General),40000,,EUR,,Ireland,,Dublin,21 - 30 years,2 - 4 years,College degree,Woman,White
35-44,Information Technology,Data Scientist/Analyst,190000,104000.0,USD,,United States,California,San Francisco,5-7 years,5-7 years,PhD,Non-binary,White
25-34,Transportation,Coordinator,40500,20000.0,USD,,United States,Georgia,Atlanta,11 - 20 years,8 - 10 years,College degree,Man,White
35-44,Engineering/Manufacturing,Project Manager,155000,90000.0,USD,,United States,Colorado,Denver,11 - 20 years,11 - 20 years,Master's degree,Man,White
25-34,Retail/Sales,Customer Service,41288,,USD,,United States,Illinois,Chicago ,8 - 10 years,5-7 years,Some college,Woman,Black or African American
25-34,Finance,Manager (General),65000,10000.0,GBP,,United Kingdom,,Birmingham,11 - 20 years,11 - 20 years,Master's degree,Man,White
35-44,Health,Other,125000,10000.0,USD,,United States,Oregon,Portland,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Non-binary,White
35-44,Health,Other,150000,0.0,GBP,,United Kingdom,,Bridgend,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Man,Another option not listed here or prefer not to answer
45-54,Government,Manager (General),90000,0.0,USD,,United States,Virginia,Norfolk,21 - 30 years,11 - 20 years,Master's degree,Man,Another option not listed here or prefer not to answer
45-54,Information Technology,Consultant,180000,25000.0,USD,,United States,Minnesota,Minneapolis,21 - 30 years,21 - 30 years,Master's degree,Man,White
25-34,Nonprofit,Manager (General),61900,,USD,,United States,Florida,Miami,5-7 years,5-7 years,College degree,Man,"Hispanic, Latino, or Spanish origin"
35-44,Other,Other,30000,,GBP,,United Kingdom,,London ,11 - 20 years,2 - 4 years,College degree,Woman,White
35-44,Media/Entertainment,Other,24000,0.0,GBP,,United Kingdom,,Stoke on Trent,11 - 20 years,8 - 10 years,College degree,Man,White
25-34,Nonprofit,Coordinator,50000,1500.0,USD,,United States,Massachusetts,Boston,2 - 4 years,1 year or less,Some college,Woman,"Hispanic, Latino, or Spanish origin"
35-44,Insurance,Other,58000,2000.0,USD,,United States,Ohio,Mason ,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Nonprofit,Manager (General),51000,,CAD,,Canada,,Toronto,2 - 4 years,2 - 4 years,Master's degree,Woman,White
45-54,Information Technology,Manager (General),170000,50000.0,USD,,United States,Oregon,Portland,31 - 40 years,21 - 30 years,College degree,Man,White
25-34,Information Technology,Director,210000,20000.0,USD,,United States,Texas,Austin,11 - 20 years,11 - 20 years,College degree,Man,White
45-54,Media/Entertainment,Data Scientist/Analyst,72000,15000.0,GBP,,United Kingdom,,London,11 - 20 years,11 - 20 years,Some college,Man,White
25-34,Information Technology,Software Engineer,110000,20000.0,GBP,,United Kingdom,,London,2 - 4 years,2 - 4 years,College degree,Man,Black or African American
25-34,Education,Project Manager,56000,0.0,USD,,United States,Texas,San Antonio,11 - 20 years,5-7 years,Master's degree,Woman,White
25-34,Finance,Other,81000,0.0,USD,,United States,North Carolina,charlotte,8 - 10 years,5-7 years,College degree,Woman,Another option not listed here or prefer not to answer
25-34,Information Technology,Manager (General),36000,2000.0,USD,,United States,Wisconsin,Madison,2 - 4 years,2 - 4 years,High School,Man,"Hispanic, Latino, or Spanish origin, Native American or Alaska Native"
25-34,Other,Manager (General),58500,,USD,,United States,Washington,Seattle,11 - 20 years,5-7 years,Some college,Woman,White
25-34,Arts/Design,Graphic Designer,43000,,USD,,United States,Minnesota,Minneapolis,2 - 4 years,2 - 4 years,College degree,Woman,White
45-54,Information Technology,Software Engineer,220000,44000.0,USD,,United States,Massachusetts,Cambridge,21 - 30 years,21 - 30 years,PhD,Man,White
35-44,Other,Social Worker,83000,0.0,USD,,United States,Utah,Salt Lake City,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Government,Other,69613,0.0,GBP,,United Kingdom,,Edinburgh,21 - 30 years,11 - 20 years,Master's degree,Woman,White
25-34,Media/Entertainment,Writer/Editor,40000,4000.0,GBP,,United Kingdom,,London,5-7 years,5-7 years,College degree,Man,White
25-34,Marketing,Other,28500,0.0,GBP,,United Kingdom,,London,2 - 4 years,2 - 4 years,College degree,Man,White
18-24,Finance,Other,41000,2000.0,USD,,United States,Wyoming,Jackson Hole,5-7 years,1 year or less,Some college,Woman,White
25-34,Education,Professor/Faculty,335000,75000.0,USD,,United States,Missouri,Kansas City ,8 - 10 years,8 - 10 years,PhD,Man,White
18-24,Legal,Other,85000,4000.0,USD,,United States,Washington,Seattle,2 - 4 years,2 - 4 years,College degree,Man,White
45-54,Hospitality,Product Manager,58000,5000.0,GBP,,United Kingdom,,Crawley,21 - 30 years,5-7 years,College degree,Woman,White
35-44,Insurance,Other,58000,2000.0,USD,,United States,Ohio,Mason ,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Information Technology,Manager (General),145000,40000.0,USD,,United States,Massachusetts,Boston,8 - 10 years,8 - 10 years,Master's degree,Man,Middle Eastern or Northern African
25-34,Marketing,Software Engineer,160000,3500.0,USD,,United States,North Carolina,Charlotte,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Health,Other,84000,5000.0,USD,,United States,Indiana,Indianapolis,8 - 10 years,5-7 years,College degree,Woman,White
35-44,Media/Entertainment,Analyst (General),46000,1000.0,USD,,United States,California,Irvine,11 - 20 years,11 - 20 years,College degree,Man,White
35-44,Legal,Other,70000,0.0,USD,,United States,Florida,Fort Lauderdale,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Information Technology,Software Engineer,140000,130000.0,USD,,United States,Massachusetts,Cambridge,5-7 years,2 - 4 years,College degree,Woman,White
25-34,Information Technology,Project Manager,121360,10382.0,USD,,United States,California,Hercules,5-7 years,5-7 years,College degree,Woman,White
35-44,Media/Entertainment,Writer/Editor,60000,0.0,USD,,United States,Maryland,Silver Spring,11 - 20 years,11 - 20 years,College degree,Man,White
25-34,Media/Entertainment,Other,27000,0.0,GBP,,United Kingdom,,London,8 - 10 years,5-7 years,College degree,Woman,White
25-34,Health,Coordinator,45000,0.0,USD,,United States,Texas,Dallas,8 - 10 years,8 - 10 years,College degree,Woman,White
35-44,Other,Other,69000,10000.0,GBP,,United Kingdom,,,11 - 20 years,2 - 4 years,College degree,Woman,White
45-54,Retail/Sales,Other,29000,0.0,GBP,,United Kingdom,,Coventry,31 - 40 years,11 - 20 years,College degree,Non-binary,White
35-44,Engineering/Manufacturing,Engineer (Non-software),49100,3000.0,GBP,,United Kingdom,,Coventry,11 - 20 years,11 - 20 years,College degree,Man,White
25-34,Information Technology,Other,85400,0.0,USD,,United States,North Carolina,Morrisville ,5-7 years,2 - 4 years,College degree,Woman,White
35-44,Engineering/Manufacturing,Manager (General),46300,0.0,GBP,,United Kingdom,,Country wide,21 - 30 years,21 - 30 years,College degree,Man,White
35-44,Information Technology,Sales Manager,96000,,GBP,,Germany,,Berlin ,11 - 20 years,8 - 10 years,Master's degree,Man,Asian or Asian American
35-44,Information Technology,Manager (General),100000,12000.0,GBP,,United Kingdom,,London,21 - 30 years,11 - 20 years,College degree,Man,White
45-54,Retail/Sales,Data Scientist/Analyst,25000,,GBP,,United Kingdom,,London,21 - 30 years,11 - 20 years,Some college,Man,White
25-34,Health,Other,40000,3500.0,EUR,,Germany,,Frankfurt ,2 - 4 years,2 - 4 years,Master's degree,Woman,Another option not listed here or prefer not to answer
25-34,Engineering/Manufacturing,Manager (General),110000,,USD,,United States,Massachusetts,Norwood MA,5-7 years,5-7 years,Master's degree,Man,Asian or Asian American
35-44,Education,Librarian,50000,,USD,,United States,North Dakota,Fargo,5-7 years,5-7 years,Master's degree,Man,White
35-44,Education,Other,34000,,GBP,,United Kingdom,,Cardiff,21 - 30 years,2 - 4 years,Master's degree,Man,White
45-54,Marketing,VP/Senior Leadership,180000,60000.0,USD,,United States,New Jersey,Summit,21 - 30 years,21 - 30 years,College degree,Man,White
35-44,Health,Other,75000,0.0,USD,,United States,Virginia,Richmond,11 - 20 years,11 - 20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Information Technology,Other,105000,,USD,,United States,California,San Francisco,2 - 4 years,2 - 4 years,College degree,Woman,White
55-64,Hospitality,Other,23500,,GBP,,United Kingdom,,London,31 - 40 years,2 - 4 years,College degree,Man,White
25-34,Information Technology,Engineer (Non-software),109236,10000.0,USD,,United States,California,San Jose,2 - 4 years,2 - 4 years,College degree,Man,White
55-64,Nonprofit,Other,123000,15000.0,USD,,United States,Florida,Jacksonville,31 - 40 years,21 - 30 years,Master's degree,Woman,White
25-34,Media/Entertainment,Other,62000,,AUD/NZD,,Australia,,Sydney,5-7 years,2 - 4 years,College degree,Woman,White
35-44,Information Technology,Software Engineer,170000,105000.0,USD,,United States,Massachusetts,Cambridge,11 - 20 years,11 - 20 years,College degree,Man,Asian or Asian American
45-54,Engineering/Manufacturing,Manager (General),152000,3500.0,USD,,United States,Pennsylvania,Hatboro ,31 - 40 years,31 - 40 years,High School,Man,White
45-54,Other,Other,22000,0.0,GBP,,United Kingdom,,Leeds,21 - 30 years,11 - 20 years,College degree,Woman,White
18-24,Real Estate,Administrative Assistant,37000,,USD,,United States,Arizona,Phoenix,5-7 years,1 year or less,College degree,Woman,White
25-34,Marketing,Other,65000,0.0,USD,,United States,New York,New York,2 - 4 years,2 - 4 years,College degree,Not Specified,"White, Another option not listed here or prefer not to answer"
35-44,Business/Consulting,Project Manager,73000,0.0,USD,,United States,District of Columbia,Washington DC,11 - 20 years,11 - 20 years,Master's degree,Man,White
25-34,Nonprofit,Other,44784,0.0,GBP,,United Kingdom,,London,8 - 10 years,2 - 4 years,College degree,Woman,White
35-44,Health,Director,175000,20000.0,USD,,United States,California,San Diego,11 - 20 years,11 - 20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Nonprofit,Other,55000,250.0,USD,,United States,Pennsylvania,Philadelphia ,5-7 years,2 - 4 years,College degree,Woman,White
25-34,Finance,Accountant,35000,1000.0,GBP,,United Kingdom,,York,8 - 10 years,8 - 10 years,College degree,Man,White
35-44,Engineering/Manufacturing,Accountant,58000,11600.0,GBP,,United Kingdom,,Birmingham,11 - 20 years,11 - 20 years,College degree,Man,White
25-34,Marketing,Marketing Manager,55000,,GBP,,United Kingdom,,London,5-7 years,5-7 years,Master's degree,Woman,White
18-24,Retail/Sales,Other,31200,,USD,,United States,Georgia,Athens,5-7 years,2 - 4 years,College degree,Non-binary,"Black or African American, Hispanic, Latino, or Spanish origin"
35-44,Information Technology,Software Engineer,180000,178000.0,USD,,United States,Oregon,Portland,11 - 20 years,11 - 20 years,College degree,Man,White
35-44,Marketing,Director,73000,7000.0,GBP,,United Kingdom,,Manchester,21 - 30 years,11 - 20 years,Master's degree,Woman,White
18-24,Information Technology,Software Engineer,49400,,USD,,United States,Pennsylvania,Meadville,2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Nonprofit,Other,30000,0.0,GBP,,United Kingdom,,Bristol,11 - 20 years,11 - 20 years,PhD,Man,White
35-44,Engineering/Manufacturing,Manager (General),43500,5000.0,EUR,,Ireland,,Dublin,21 - 30 years,11 - 20 years,Some college,Woman,White
35-44,Energy,Other,41500,5000.0,GBP,,United Kingdom,,London,11 - 20 years,11 - 20 years,College degree,Man,White
35-44,Retail/Sales,Manager (General),48000,0.0,GBP,,United Kingdom,,Birmingham ,21 - 30 years,5-7 years,Some college,Not Specified,White
35-44,Information Technology,Other,116000,0.0,USD,,United States,Missouri,St. Louis,11 - 20 years,11 - 20 years,Master's degree,Man,White
45-54,Information Technology,Director,50000,0.0,GBP,,United Kingdom,,Nottingham,21 - 30 years,21 - 30 years,College degree,Man,White
45-54,Media/Entertainment,Other,140000,,USD,,United States,Massachusetts,Boston,21 - 30 years,5-7 years,College degree,Man,White
25-34,Retail/Sales,Other,21000,0.0,USD,,United States,Louisiana,Lafayette,8 - 10 years,5-7 years,Some college,Woman,White
25-34,Education,Administrative Assistant,40000,,USD,,United States,California,Long Beach,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American
25-34,Legal,Other,51000,400.0,CAD,,Canada,,Calgary,11 - 20 years,2 - 4 years,College degree,Woman,White
35-44,Information Technology,Software Engineer,128000,,USD,,United States,Minnesota,Minneapolis,11 - 20 years,11 - 20 years,Master's degree,Man,White
25-34,Finance,Other,93000,,USD,,United States,Minnesota,Chanhassen ,5-7 years,5-7 years,College degree,Man,White
25-34,Legal,Other,47000,0.0,GBP,,United Kingdom,,Leeds,5-7 years,5-7 years,College degree,Man,White
25-34,Other,Writer/Editor,56160,0.0,USD,,United States,Colorado,Colorado Springs,5-7 years,5-7 years,College degree,Man,White
35-44,Marketing,Manager (General),103000,,USD,,United States,Illinois,Chicago,11 - 20 years,8 - 10 years,Master's degree,Man,White
45-54,Information Technology,Engineer (Non-software),96000,16000.0,USD,,United States,Illinois,Chicago,31 - 40 years,21 - 30 years,College degree,Man,White
25-34,Nonprofit,Manager (General),54000,0.0,USD,,United States,Kentucky,Louisville,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Government,Supervisor,85000,,CAD,,Canada,,Montreal,11 - 20 years,8 - 10 years,Master's degree,Woman,White
35-44,Hospitality,Other,62000,0.0,USD,,United States,New Jersey,Somerset,11 - 20 years,11 - 20 years,College degree,Man,White
35-44,Finance,Manager (General),29995,1650.0,GBP,,United Kingdom,,Glasgow,11 - 20 years,11 - 20 years,High School,Man,White
35-44,Health,Data Scientist/Analyst,110000,11000.0,USD,,United States,Pennsylvania,Philadelphia,5-7 years,2 - 4 years,High School,Man,White
18-24,Engineering/Manufacturing,Engineer (Non-software),78000,300.0,USD,,United States,"District of Columbia, Maryland","Lanham, MD",1 year or less,1 year or less,College degree,Man,White
25-34,Education,Other,38000,,USD,,United States,Oregon,Portland,5-7 years,2 - 4 years,Master's degree,Non-binary,Asian or Asian American
35-44,Engineering/Manufacturing,Other,75000,0.0,USD,,United States,California,Decline to State,11 - 20 years,8 - 10 years,College degree,Woman,White
35-44,Media/Entertainment,Writer/Editor,84000,0.0,USD,,United States,California,San Francisco,21 - 30 years,11 - 20 years,College degree,Woman,White
25-34,Media/Entertainment,Other,24321,,GBP,,United Kingdom,,Birmingham UK,5-7 years,5-7 years,College degree,Woman,White
25-34,Information Technology,Manager (General),82000,8000.0,CAD,,Canada,,Toronto,5-7 years,2 - 4 years,College degree,Woman,White
25-34,Information Technology,Software Engineer,127000,,CAD,,Canada,,Vancouver,8 - 10 years,5-7 years,Some college,Woman,White
25-34,Health,Other,44000,700.0,USD,,United States,Florida,Orlando,11 - 20 years,8 - 10 years,College degree,Non-binary,White
25-34,Marketing,Manager (General),112000,35000.0,USD,,United States,Maryland,Silver Spring,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Finance,Other,120000,,GBP,,United Kingdom,,Liverpool,11 - 20 years,11 - 20 years,College degree,Man,White
18-24,Information Technology,Writer/Editor,100000,10000.0,USD,,United States,California,San Francisco,2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Transportation,Manager (General),85600,0.0,CAD,,Canada,,Vancouver,11 - 20 years,5-7 years,Master's degree,Woman,White
45-54,Engineering/Manufacturing,Other,24000,500.0,GBP,,United Kingdom,,Southampton ,21 - 30 years,2 - 4 years,Some college,Woman,White
35-44,Information Technology,Software Engineer,110000,11000.0,USD,,United States,Oregon,Portland,11 - 20 years,5-7 years,College degree,Man,White
35-44,Engineering/Manufacturing,Other,70000,0.0,USD,,United States,California,Burbank,11 - 20 years,5-7 years,College degree,Man,Asian or Asian American
35-44,Retail/Sales,Customer Service,32656,0.0,USD,,United States,Tennessee,Nashville,11 - 20 years,11 - 20 years,College degree,Man,White
55-64,Nonprofit,Coordinator,42000,300.0,USD,,United States,New Mexico,Alamogordo ,41 years or more,21 - 30 years,Some college,Woman,Another option not listed here or prefer not to answer
45-54,Media/Entertainment,Writer/Editor,80000,0.0,EUR,,France,,"None, work from home",21 - 30 years,5-7 years,Some college,Man,White
35-44,Information Technology,Other,63400,,USD,,United States,Washington,Redmond,11 - 20 years,2 - 4 years,Master's degree,Man,White
35-44,Media/Entertainment,Writer/Editor,62500,12000.0,USD,,United States,California,San Diego,8 - 10 years,5-7 years,Master's degree,Woman,White
35-44,Government,Other,90000,0.0,USD,,United States,Minnesota,St. Paul,11 - 20 years,8 - 10 years,Master's degree,Man,White
35-44,Information Technology,Director,123000,,GBP,,United Kingdom,,Bristol,21 - 30 years,21 - 30 years,College degree,Man,White
45-54,Information Technology,Director,105000,,USD,,United States,Oregon,Portland,11 - 20 years,11 - 20 years,PhD,Woman,Asian or Asian American
35-44,Engineering/Manufacturing,Software Engineer,121000,0.0,USD,,United States,Maryland,Greenbelt,11 - 20 years,8 - 10 years,College degree,Man,White
18-24,Marketing,Other,70000,0.0,USD,,United States,Massachusetts,Boston,2 - 4 years,2 - 4 years,College degree,Woman,White
45-54,Real Estate,Consultant,21000,4000.0,GBP,,United Kingdom,,Cuffley,31 - 40 years,11 - 20 years,High School,Woman,White
35-44,Media/Entertainment,Writer/Editor,78500,2000.0,USD,,United States,Massachusetts,Boston,21 - 30 years,21 - 30 years,Master's degree,Man,White
35-44,Other,Manager (General),116208,0.0,USD,,United States,New York,New York City,8 - 10 years,5-7 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
25-34,Business/Consulting,Other,100000,,EUR,,Germany,,Hamburg,8 - 10 years,8 - 10 years,College degree,Man,White
35-44,Education,Other,65500,0.0,USD,,United States,Illinois,Chicago,11 - 20 years,11 - 20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
18-24,Marketing,Executive Assistant,50000,,USD,,United States,Pennsylvania,Philadelphia ,2 - 4 years,2 - 4 years,College degree,Woman,White
45-54,Real Estate,Manager (General),52500,,GBP,,United Kingdom,,Truro,21 - 30 years,21 - 30 years,College degree,Man,White
25-34,Information Technology,Other,110000,10000.0,EUR,,Germany,,Berlin,11 - 20 years,11 - 20 years,Some college,Man,White
45-54,Information Technology,Engineer (Non-software),62000,,GBP,,United Kingdom,,London,21 - 30 years,11 - 20 years,Some college,Man,White
25-34,Marketing,Director,85000,5000.0,USD,,United States,Utah,Salt Lake City,5-7 years,5-7 years,College degree,Man,White
25-34,Insurance,Other,59955,5000.0,USD,,United States,Florida,St. Petersburg,5-7 years,5-7 years,College degree,Woman,White
35-44,Health,Manager (General),58000,4000.0,GBP,,United Kingdom,,Cambridge ,11 - 20 years,11 - 20 years,PhD,Woman,Another option not listed here or prefer not to answer
35-44,Marketing,Marketing Manager,78000,,USD,,United States,California,San Francisco,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Nonprofit,Other,57000,0.0,USD,,United States,Texas,Austin,5-7 years,5-7 years,College degree,Man,White
35-44,Nonprofit,Manager (General),44000,500.0,USD,,United States,Virginia,Richmond,11 - 20 years,5-7 years,Some college,Woman,White
25-34,Information Technology,Manager (General),192400,150000.0,USD,,United States,Wisconsin,Remote,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Retail/Sales,Other,42000,15000.0,USD,,United States,Texas,New Braunfels,5-7 years,2 - 4 years,High School,Man,White
45-54,Education,Other,39000,0.0,GBP,,United Kingdom,,London,31 - 40 years,11 - 20 years,Master's degree,Man,White
35-44,Insurance,Other,200000,250000.0,USD,,United States,Connecticut,Hartford ,21 - 30 years,21 - 30 years,Master's degree,Man,White
35-44,Insurance,UX/UI Designer,85000,,USD,,United States,Wisconsin,Madison,11 - 20 years,8 - 10 years,College degree,Man,White
35-44,Information Technology,Other,26000,,GBP,,United Kingdom,,Manchester,21 - 30 years,2 - 4 years,High School,Man,Another option not listed here or prefer not to answer
45-54,Government,Engineer (Non-software),54000,0.0,GBP,,United Kingdom,,Various ,21 - 30 years,21 - 30 years,Some college,Man,White
35-44,Information Technology,Other,37850,500.0,GBP,,United Kingdom,,Nottingham ,11 - 20 years,11 - 20 years,College degree,Man,White
25-34,Real Estate,Other,30000,,GBP,,United Kingdom,,Newcastle,11 - 20 years,11 - 20 years,Some college,Man,White
35-44,Government,Manager (General),42000,0.0,GBP,,United Kingdom,,London,11 - 20 years,11 - 20 years,College degree,Man,White
25-34,Information Technology,Other,34800,0.0,EUR,,Other,,Madrid,11 - 20 years,5-7 years,College degree,Man,"Hispanic, Latino, or Spanish origin"
55-64,Finance,Other,108000,8000.0,GBP,,Other,,London,31 - 40 years,31 - 40 years,Master's degree,Man,White
25-34,Media/Entertainment,Other,65000,0.0,USD,,United States,New York,New York,5-7 years,1 year or less,College degree,Man,White
35-44,Information Technology,Manager (General),180000,0.0,USD,,United States,California,San Francisco Bay Area,31 - 40 years,21 - 30 years,College degree,Man,White
25-34,Other,Other,39995,300.0,GBP,,United Kingdom,,Oxford,8 - 10 years,5-7 years,PhD,Man,White
25-34,Information Technology,Software Engineer,124750,0.0,USD,,United States,California,Carlsbad,8 - 10 years,8 - 10 years,College degree,Man,White
35-44,Information Technology,Software Engineer,94000,0.0,EUR,,France,,Bordeaux,21 - 30 years,21 - 30 years,Not Specified,Man,White
25-34,Agriculture,Manager (General),83000,5000.0,USD,,United States,Oregon,Portland,8 - 10 years,5-7 years,College degree,Prefer not to answer,Another option not listed here or prefer not to answer
25-34,Nonprofit,Manager (General),62000,0.0,USD,,United States,Massachusetts,Cambridge,5-7 years,2 - 4 years,Master's degree,Woman,White
25-34,Information Technology,Data Scientist/Analyst,58700,7000.0,GBP,,United Kingdom,,London,5-7 years,2 - 4 years,PhD,Man,White
25-34,Real Estate,Director,71000,0.0,USD,,United States,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,College degree,Woman,Black or African American
45-54,Legal,Executive Assistant,68000,7500.0,USD,,United States,Virginia,Richmond,21 - 30 years,11 - 20 years,College degree,Woman,White
35-44,Information Technology,Manager (General),110000,16500.0,USD,,United States,California,Long Beach,11 - 20 years,8 - 10 years,College degree,Man,Asian or Asian American
18-24,Arts/Design,Other,40000,1200.0,USD,additional compensation is for overtime (i am paid hourly) so it varies. i have included an estimate,United States,Georgia,atlanta,2 - 4 years,2 - 4 years,College degree,Non-binary,White
25-34,Information Technology,Software Engineer,160000,20000.0,USD,,United States,New York,New York City,2 - 4 years,2 - 4 years,College degree,Woman,Middle Eastern or Northern African
25-34,Information Technology,Other,76000,,USD,,United States,Washington,Bellevue,5-7 years,2 - 4 years,College degree,Woman,White
25-34,Information Technology,Manager (General),95000,30000.0,USD,,United States,New York,Fort Plain,5-7 years,2 - 4 years,College degree,Man,White
45-54,Government,Writer/Editor,102000,0.0,USD,,United States,California,San Diego,21 - 30 years,11 - 20 years,Master's degree,Woman,White
35-44,Information Technology,Other,250000,,USD,,United States,Illinois,Chicago,8 - 10 years,5-7 years,Master's degree,Man,Black or African American
35-44,Insurance,Manager (General),80000,6000.0,EUR,,Ireland,,Dublin,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Not Specified,White
25-34,Information Technology,Other,76000,,USD,,United States,Washington,Bellevue,5-7 years,2 - 4 years,College degree,Woman,White
25-34,Information Technology,Manager (General),80000,20000.0,USD,,United States,Texas,Austin ,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Nonprofit,Manager (General),67000,0.0,USD,,United States,Maryland,"Silver Spring, MD",11 - 20 years,11 - 20 years,Master's degree,Man,White
45-54,Nonprofit,Librarian,78000,0.0,USD,,United States,District of Columbia,Washington,21 - 30 years,21 - 30 years,Master's degree,Woman,White
35-44,Information Technology,Other,850000,0.0,EUR,,Germany,,Berlin,11 - 20 years,11 - 20 years,College degree,Man,White
25-34,Education,Director,61000,0.0,USD,,United States,Minnesota,Mankato,8 - 10 years,5-7 years,College degree,Man,White
25-34,Marketing,Marketing Manager,30000,4000.0,GBP,,United Kingdom,,London,2 - 4 years,2 - 4 years,Master's degree,Woman,White
25-34,Other,Marketing Manager,21000,,GBP,,United Kingdom,,Brighton ,2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Information Technology,Analyst (General),100000,0.0,USD,,United States,Rhode Island,West Greenwich,11 - 20 years,8 - 10 years,Some college,Man,White
25-34,Other,Manager (General),29120,,USD,,United States,Texas,Houston,5-7 years,2 - 4 years,High School,Non-binary,"Hispanic, Latino, or Spanish origin, White"
25-34,Nonprofit,Consultant,166000,0.0,USD,,United States,Louisiana,New Orleans ,11 - 20 years,2 - 4 years,Master's degree,Man,White
35-44,Business/Consulting,Consultant,135000,1000.0,USD,,United States,Georgia,Atlanta,11 - 20 years,8 - 10 years,College degree,Man,Black or African American
35-44,Media/Entertainment,Writer/Editor,37000,1200.0,EUR,,Ireland,,Dublin,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Other,Manager (General),65000,1000.0,USD,,United States,Colorado,Boulder,8 - 10 years,8 - 10 years,College degree,Man,"Hispanic, Latino, or Spanish origin"
25-34,Engineering/Manufacturing,Engineer (Non-software),50000,,EUR,,Ireland,,longford,5-7 years,5-7 years,PhD,Woman,White
35-44,Engineering/Manufacturing,Engineer (Non-software),91000,7000.0,USD,,United States,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Information Technology,Software Engineer,125000,0.0,USD,,United States,Kentucky,Louisville,11 - 20 years,5-7 years,College degree,Man,White
35-44,Information Technology,Other,80000,,GBP,,United Kingdom,,Leeds,21 - 30 years,11 - 20 years,College degree,Man,White
35-44,Education,Project Manager,63000,0.0,USD,,United States,Oregon,portland,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Legal,Other,1100000,,USD,,United States,Illinois,Chicago,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Man,White
35-44,Information Technology,Engineer (Non-software),125000,,AUD/NZD,,New Zealand,,Wellington,11 - 20 years,8 - 10 years,High School,Man,White
35-44,Engineering/Manufacturing,Engineer (Non-software),82000,3000.0,USD,,United States,Indiana,Indianapolis,11 - 20 years,8 - 10 years,College degree,Man,White
25-34,Energy,Team Lead,48900,3400.0,CAD,,Canada,,Toronto ,8 - 10 years,5-7 years,College degree,Woman,Black or African American
45-54,Government,Director,168000,3000.0,USD,,United States,District of Columbia,Washington DC,11 - 20 years,11 - 20 years,PhD,Man,"Hispanic, Latino, or Spanish origin"
25-34,Engineering/Manufacturing,Other,138000,0.0,USD,,United States,Minnesota,Minneapolis,5-7 years,5-7 years,PhD,Man,White
35-44,Information Technology,Analyst (General),84000,16000.0,USD,,United States,Washington,Redmond,21 - 30 years,21 - 30 years,College degree,Man,White
25-34,Education,Manager (General),54000,500.0,USD,,United States,California,Berkeley,5-7 years,5-7 years,Master's degree,Non-binary,White
35-44,Government,Other,45000,0.0,USD,,United States,Texas,Austin,11 - 20 years,8 - 10 years,Some college,Woman,White
25-34,Health,Other,560000,0.0,USD,,United States,Texas,West Texas,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Another option not listed here or prefer not to answer
25-34,Information Technology,Software Engineer,165000,10000.0,USD,,United States,Washington,Kirkland,8 - 10 years,8 - 10 years,College degree,Man,White
25-34,Legal,Other,61000,1000.0,USD,,United States,California,San Jose,2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Information Technology,Data Scientist/Analyst,85550,,USD,,United States,New York,New York City,8 - 10 years,1 year or less,College degree,Man,White
